Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003,ACS18_5yr_B15003001,ACS18_5yr_B15003002,ACS18_5yr_B15003003,ACS18_5yr_B15003004,ACS18_5yr_B15003005,ACS18_5yr_B15003006,ACS18_5yr_B15003007,ACS18_5yr_B15003008,ACS18_5yr_B15003009,ACS18_5yr_B15003010,ACS18_5yr_B15003011,ACS18_5yr_B15003012,ACS18_5yr_B15003013,ACS18_5yr_B15003014,ACS18_5yr_B15003015,ACS18_5yr_B15003016,ACS18_5yr_B15003017,ACS18_5yr_B15003018,ACS18_5yr_B15003019,ACS18_5yr_B15003020,ACS18_5yr_B15003021,ACS18_5yr_B15003022,ACS18_5yr_B15003023,ACS18_5yr_B15003024,ACS18_5yr_B15003025,ACS18_5yr_B15003001s,ACS18_5yr_B15003002s,ACS18_5yr_B15003003s,ACS18_5yr_B15003004s,ACS18_5yr_B15003005s,ACS18_5yr_B15003006s,ACS18_5yr_B15003007s,ACS18_5yr_B15003008s,ACS18_5yr_B15003009s,ACS18_5yr_B15003010s,ACS18_5yr_B15003011s,ACS18_5yr_B15003012s,ACS18_5yr_B15003013s,ACS18_5yr_B15003014s,ACS18_5yr_B15003015s,ACS18_5yr_B15003016s,ACS18_5yr_B15003017s,ACS18_5yr_B15003018s,ACS18_5yr_B15003019s,ACS18_5yr_B15003020s,ACS18_5yr_B15003021s,ACS18_5yr_B15003022s,ACS18_5yr_B15003023s,ACS18_5yr_B15003024s,ACS18_5yr_B15003025s,ACS18_5yr_B28003001,ACS18_5yr_B28003002,ACS18_5yr_B28003003,ACS18_5yr_B28003004,ACS18_5yr_B28003005,ACS18_5yr_B28003006,ACS18_5yr_B28003001s,ACS18_5yr_B28003002s,ACS18_5yr_B28003003s,ACS18_5yr_B28003004s,ACS18_5yr_B28003005s,ACS18_5yr_B28003006s
"17163","05000US17163","St. Clair County","St. Clair County, Illinois","il","050","00","ACSSF","0000094",,,,,"17","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263463,263463,252956,162966,79040,322,3720,56,643,6209,10507,5937,311,122,31,6,3051,1049,127720,118602,9118,61511,15252,46259,160345,23964,136381,37485,3194,34291,178139,1611,37,0,41,70,85,126,102,425,352,1642,2422,2741,4377,2365,42569,8359,13994,28193,19965,28471,16667,2413,1112,64.24242,176.9697,21.21212,15.75758,21.81818,31.51515,29.09091,50.90909,32.72727,80,83.0303,170.303,190.303,278.7879,349.0909,180.6061,924.8485,396.3636,484.8485,792.1212,695.1515,638.1818,540.6061,181.2121,123.0303,103063,86655,724,74090,11841,16408,718.1818,741.8182,104.2424,774.5455,510.303,492.1212
"29189","05000US29189","St. Louis County","St. Louis County, Missouri","mo","050","00","ACSSF","0000108",,,,,"29","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998684,998684,970381,663664,239475,1506,41418,225,2629,21464,28303,19300,837,315,183,65,5425,2178,524576,497435,27141,217323,29353,187970,595808,54652,541156,164729,10389,154340,689502,3505,68,195,105,200,343,365,865,1331,605,6255,4355,9017,10592,8446,126538,19646,41105,104968,53365,171146,89464,22347,14676,68.48485,253.9394,29.69697,57.57576,56.9697,61.81818,92.72727,106.0606,157.5758,183.6364,103.6364,398.1818,336.9697,423.6364,501.2121,424.2424,1578.182,638.1818,980,1553.333,1072.121,1705.455,1205.455,596.3636,440.606,403547,365989,1527,338974,25488,37558,1103.636,1296.364,156.9697,1376.364,704.8485,659.3939
"29510","05000US29510","St. Louis city","St. Louis city, Missouri","mo","050","00","ACSSF","0000127",,,,,"29","510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311273,311273,298910,134617,145696,616,10002,154,1366,6459,12363,9339,361,116,94,41,1817,595,167581,153691,13890,60156,23376,36780,204540,43762,160778,37880,6034,31846,219694,2718,22,47,124,58,212,181,358,647,522,2887,3255,5644,8046,4047,43036,8873,11811,35693,14547,42151,23050,6933,4832,101.8182,196.9697,18.18182,21.21212,75.75758,30.90909,58.78788,52.72727,88.48485,121.2121,83.63636,223.6364,243.0303,331.5151,429.697,240,784.8485,369.697,443.6364,670.9091,474.5454,773.9394,659.3939,327.8788,321.8182,140455,116238,300,98334,17604,24217,775.1515,873.9394,51.51515,865.4545,466.6667,578.1818
