Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003,ACS18_5yr_B15003001,ACS18_5yr_B15003002,ACS18_5yr_B15003003,ACS18_5yr_B15003004,ACS18_5yr_B15003005,ACS18_5yr_B15003006,ACS18_5yr_B15003007,ACS18_5yr_B15003008,ACS18_5yr_B15003009,ACS18_5yr_B15003010,ACS18_5yr_B15003011,ACS18_5yr_B15003012,ACS18_5yr_B15003013,ACS18_5yr_B15003014,ACS18_5yr_B15003015,ACS18_5yr_B15003016,ACS18_5yr_B15003017,ACS18_5yr_B15003018,ACS18_5yr_B15003019,ACS18_5yr_B15003020,ACS18_5yr_B15003021,ACS18_5yr_B15003022,ACS18_5yr_B15003023,ACS18_5yr_B15003024,ACS18_5yr_B15003025,ACS18_5yr_B15003001s,ACS18_5yr_B15003002s,ACS18_5yr_B15003003s,ACS18_5yr_B15003004s,ACS18_5yr_B15003005s,ACS18_5yr_B15003006s,ACS18_5yr_B15003007s,ACS18_5yr_B15003008s,ACS18_5yr_B15003009s,ACS18_5yr_B15003010s,ACS18_5yr_B15003011s,ACS18_5yr_B15003012s,ACS18_5yr_B15003013s,ACS18_5yr_B15003014s,ACS18_5yr_B15003015s,ACS18_5yr_B15003016s,ACS18_5yr_B15003017s,ACS18_5yr_B15003018s,ACS18_5yr_B15003019s,ACS18_5yr_B15003020s,ACS18_5yr_B15003021s,ACS18_5yr_B15003022s,ACS18_5yr_B15003023s,ACS18_5yr_B15003024s,ACS18_5yr_B15003025s,ACS18_5yr_B28003001,ACS18_5yr_B28003002,ACS18_5yr_B28003003,ACS18_5yr_B28003004,ACS18_5yr_B28003005,ACS18_5yr_B28003006,ACS18_5yr_B28003001s,ACS18_5yr_B28003002s,ACS18_5yr_B28003003s,ACS18_5yr_B28003004s,ACS18_5yr_B28003005s,ACS18_5yr_B28003006s
"29189217702","14000US29189217702","Census Tract 2177.02","Census Tract 2177.02, St. Louis County, Missouri","mo","140","00","ACSSF","0005447",,,,,"29","189",,,,"217702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8382,8382,8281,7384,111,0,750,0,5,31,101,101,0,0,0,0,0,0,3572,3489,83,1984,1,1983,4062,90,3972,1577,1,1576,5864,11,0,0,0,0,0,0,0,9,0,27,4,4,23,30,753,115,143,757,340,1693,1073,600,282,142.4242,11.51515,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,11.51515,9.090909,19.39394,6.060606,5.454545,17.57576,18.78788,114.5455,41.81818,49.69697,146.6667,100.6061,153.3333,150.303,113.9394,107.8788,2909,2726,0,2632,94,183,71.51515,78.18182,9.090909,81.81818,40.60606,61.81818
"29189217802","14000US29189217802","Census Tract 2178.02","Census Tract 2178.02, St. Louis County, Missouri","mo","140","00","ACSSF","0005448",,,,,"29","189",,,,"217802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7387,7387,7057,5944,153,12,829,15,0,104,330,330,0,0,0,0,0,0,3680,3512,168,1704,0,1704,3943,66,3877,1740,0,1740,5250,1,0,0,13,0,0,0,0,0,0,17,0,0,0,61,629,53,196,613,452,1920,967,225,103,143.6364,2.424242,9.090909,9.090909,13.93939,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,16.36364,9.090909,9.090909,9.090909,49.69697,96.9697,26.06061,55.75758,91.51515,126.6667,155.7576,129.0909,66.66666,41.81818,2816,2704,14,2647,43,112,75.75758,81.81818,13.93939,84.84849,23.0303,38.18182
"29189217806","14000US29189217806","Census Tract 2178.06","Census Tract 2178.06, St. Louis County, Missouri","mo","140","00","ACSSF","0005449",,,,,"29","189",,,,"217806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5779,5779,5388,4716,94,0,470,0,68,40,391,361,30,0,0,0,0,0,3151,3058,93,1238,290,948,3473,292,3181,1057,32,1025,4208,0,0,0,0,0,0,0,0,0,16,241,176,43,39,57,871,28,127,587,300,1078,487,117,41,198.7879,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,14.54545,146.0606,147.2727,23.0303,35.75758,29.09091,146.0606,19.39394,41.21212,106.6667,75.15151,129.0909,122.4242,35.75758,28.48485,2346,2085,0,1967,118,261,76.9697,86.06061,9.090909,96.36364,50.30303,60.60606
"29189217807","14000US29189217807","Census Tract 2178.07","Census Tract 2178.07, St. Louis County, Missouri","mo","140","00","ACSSF","0005450",,,,,"29","189",,,,"217807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6111,6111,5981,5668,26,0,134,0,0,153,130,117,13,0,0,0,0,0,3099,2998,101,1502,79,1423,3225,161,3064,1384,15,1369,4289,0,0,0,0,0,0,0,0,25,0,50,15,20,21,37,506,52,301,584,148,1655,754,98,23,141.2121,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,21.81818,9.090909,27.87879,13.93939,20,20,20.60606,75.15151,25.45455,68.48485,98.18182,49.09091,135.1515,114.5455,36.36364,17.57576,2465,2313,48,2172,93,152,86.66666,86.06061,27.87879,95.15151,37.57576,41.81818
"29189217841","14000US29189217841","Census Tract 2178.41","Census Tract 2178.41, St. Louis County, Missouri","mo","140","00","ACSSF","0005451",,,,,"29","189",,,,"217841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338,5338,5278,4427,116,5,580,0,0,150,60,50,0,10,0,0,0,0,2678,2628,50,1158,92,1066,2971,179,2792,1209,88,1121,3866,22,0,0,0,0,0,0,0,0,0,0,18,14,0,0,523,61,93,403,192,1369,821,178,172,109.697,18.78788,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,17.57576,13.33333,9.090909,9.090909,90.90909,29.09091,36.9697,94.54546,58.18182,136.3636,127.2727,57.57576,54.54546,2054,1995,15,1888,92,59,32.12121,46.66667,15.15152,60.60606,38.78788,28.48485
"29189217842","14000US29189217842","Census Tract 2178.42","Census Tract 2178.42, St. Louis County, Missouri","mo","140","00","ACSSF","0005452",,,,,"29","189",,,,"217842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7209,7209,7080,5492,403,0,947,0,54,184,129,115,0,0,0,0,14,0,3898,3779,119,1415,0,1415,4045,223,3822,1749,53,1696,5417,31,0,0,0,0,0,0,0,0,0,0,14,13,0,0,469,60,228,669,271,1505,1454,416,287,158.7879,21.81818,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,13.33333,13.93939,9.090909,9.090909,106.0606,35.75758,66.66666,119.3939,80,170.9091,146.0606,94.54546,96.36364,3066,2862,11,2798,53,204,73.33334,86.66666,10.90909,94.54546,32.72727,58.18182
"29189217851","14000US29189217851","Census Tract 2178.51","Census Tract 2178.51, St. Louis County, Missouri","mo","140","00","ACSSF","0005453",,,,,"29","189",,,,"217851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3076,3076,2987,2688,102,0,140,0,9,48,89,89,0,0,0,0,0,0,1418,1389,29,728,6,722,1610,38,1572,653,16,637,2216,10,0,9,0,0,0,0,0,0,0,0,8,0,0,21,287,37,94,209,110,760,485,115,71,77.57576,9.090909,6.666667,8.484848,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,7.878788,6.666667,6.666667,12.12121,47.87879,23.0303,29.69697,45.45454,32.12121,91.51515,68.48485,31.51515,22.42424,1129,1113,0,1077,36,16,29.69697,27.87879,6.666667,32.12121,15.15152,11.51515
"29189217852","14000US29189217852","Census Tract 2178.52","Census Tract 2178.52, St. Louis County, Missouri","mo","140","00","ACSSF","0005454",,,,,"29","189",,,,"217852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6487,6487,6410,5939,117,9,242,0,0,103,77,60,0,0,0,0,17,0,2983,2903,80,1494,44,1450,3461,15,3446,1366,62,1304,4495,0,0,0,0,0,0,5,0,0,0,52,5,25,72,0,562,4,170,594,172,1588,940,201,105,140,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,5.454545,9.090909,9.090909,9.090909,26.06061,6.060606,18.18182,49.09091,9.090909,101.2121,6.060606,55.75758,90.90909,58.78788,133.9394,118.1818,53.33333,36.9697,2326,2254,0,2138,116,72,61.21212,69.09091,9.090909,92.72727,56.36364,41.21212
"29189217921","14000US29189217921","Census Tract 2179.21","Census Tract 2179.21, St. Louis County, Missouri","mo","140","00","ACSSF","0005455",,,,,"29","189",,,,"217921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4911,4911,4790,4476,55,0,186,0,0,73,121,113,0,8,0,0,0,0,2440,2322,118,1159,14,1145,2864,102,2762,681,17,664,3395,0,0,0,0,0,0,0,0,0,2,29,8,8,23,10,381,51,123,484,177,1337,547,102,113,132.7273,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,2.424242,15.75758,10.90909,7.878788,16.9697,9.69697,53.33333,19.39394,36.36364,76.36364,37.57576,106.6667,73.93939,36.36364,29.09091,1674,1658,0,1579,79,16,55.15152,53.93939,6.666667,61.21212,36.36364,10.90909
"29189217923","14000US29189217923","Census Tract 2179.23","Census Tract 2179.23, St. Louis County, Missouri","mo","140","00","ACSSF","0005456",,,,,"29","189",,,,"217923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7055,7055,6827,6113,77,6,467,0,91,73,228,191,0,0,16,0,0,21,4125,3958,167,1753,0,1753,4379,92,4287,923,13,910,4919,0,0,0,0,0,0,0,0,0,0,36,0,12,14,49,847,111,209,655,424,1724,705,17,116,155.1515,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,9.090909,24.84848,9.090909,12.12121,12.72727,27.27273,119.3939,43.63636,61.21212,106.6667,81.21212,147.2727,106.0606,16.36364,57.57576,2861,2692,0,2596,96,169,59.39394,66.06061,9.090909,77.57576,47.27273,49.69697
