GEOID,pop,wht,unemp,wrkfrc,pov1,pov2,pov3,com_tot,no_com,no_int,dial_up,edu_tot,brdbnd,pct_min,pct_unemp,pct_pov,pct_nocom,pct_com,nohs,nohsgrad,hsgrad,colgrad
17119400101,2775,2400,85,1490,157,283,39,1283,129,69,1154,2105,1085,0.13513513513513514,0.05704697986577181,0.17261261261261263,0.1543257989088075,0.8456742010911925,0.012826603325415678,0.01852731591448931,0.7382422802850356,0.23040380047505937
17119400102,4626,3356,170,2215,549,749,66,1959,307,87,1652,3375,1565,0.2745352356247298,0.07674943566591422,0.2948551664504972,0.20112302194997447,0.7988769780500256,0.04,0.06874074074074074,0.6832592592592592,0.208
17119400200,4476,3544,354,2138,288,849,78,1678,296,192,1382,3081,1190,0.20822162645218945,0.16557530402245088,0.2714477211796247,0.2908224076281287,0.7091775923718713,0.07043167802661474,0.10775722168127232,0.7114573190522557,0.11035378123985719
17119400600,2607,1037,233,1222,111,646,68,1200,303,112,897,1888,785,0.6022247794399693,0.190671031096563,0.31645569620253167,0.3458333333333333,0.6541666666666667,0.04184322033898305,0.17478813559322035,0.6541313559322034,0.1292372881355932
17119400700,2128,110,162,932,241,339,49,790,206,114,584,1244,470,0.9483082706766918,0.17381974248927037,0.2955827067669173,0.4050632911392405,0.5949367088607596,0.05064308681672026,0.09163987138263666,0.6808681672025724,0.17684887459807075
17119400801,1864,1688,53,1009,64,123,18,863,150,42,713,1428,671,0.0944206008583691,0.05252725470763132,0.10997854077253219,0.22247972190034762,0.7775202780996524,0.022408963585434174,0.023809523809523808,0.5686274509803921,0.3851540616246499
17119400802,6208,5343,232,2792,246,541,74,2818,474,176,2344,4545,2142,0.13933634020618557,0.0830945558739255,0.13869201030927836,0.23066004258339248,0.7693399574166075,0.03542354235423542,0.06556655665566556,0.6739273927392739,0.22508250825082507
17119400903,5135,3982,266,2457,442,607,90,2099,392,104,1707,3465,1589,0.22453748782862706,0.10826210826210826,0.22181110029211296,0.23630300142925204,0.763696998570748,0.06695526695526696,0.10101010101010101,0.5653679653679654,0.26666666666666666
17119400904,3498,3316,225,1824,48,126,0,1457,192,84,1265,2563,1181,0.05202973127501429,0.12335526315789473,0.04974271012006861,0.18943033630748113,0.8105696636925188,0.008193523214982443,0.05891533359344518,0.702301989855638,0.23058915333593444
17119400951,5005,4711,48,2279,59,352,16,2181,438,178,1743,3842,1547,0.05874125874125874,0.02106186924089513,0.08531468531468532,0.28243924805135256,0.7175607519486474,0.038261322228006246,0.1116605934409162,0.5585632483081728,0.29151483602290473
17119400952,3014,2382,55,1478,98,219,40,1107,43,116,1064,2080,937,0.20968812209688123,0.03721244925575101,0.11844724618447246,0.14363143631436315,0.8563685636856369,0.03173076923076923,0.10192307692307692,0.5985576923076923,0.26778846153846153
17119401000,2439,2292,49,1159,219,316,11,998,173,90,825,1635,721,0.06027060270602706,0.04227782571182054,0.22386223862238622,0.2635270541082164,0.7364729458917836,0.023241590214067277,0.0801223241590214,0.6770642201834862,0.21957186544342508
17119401100,6377,5992,182,3077,367,726,160,2663,462,243,2201,4453,1942,0.06037321624588365,0.05914852128696783,0.1964873765093304,0.2647390161472024,0.7352609838527976,0.03054120817426454,0.09050078598697507,0.6696609027621828,0.2092971030765776
17119401200,1647,1526,41,737,217,187,23,721,147,28,574,1189,546,0.0734669095324833,0.05563093622795115,0.25925925925925924,0.24271844660194175,0.7572815533980582,0.007569386038687973,0.09167367535744322,0.6896551724137931,0.2111017661900757
17119401300,5144,4637,129,2317,367,585,74,2241,400,229,1841,3484,1612,0.09856143079315707,0.05567544238239102,0.1994556765163297,0.28067826863007583,0.7193217313699242,0.0743398392652124,0.11337543053960965,0.538174512055109,0.27411021814006886
17119401400,3276,2765,46,1604,239,441,80,1398,282,96,1116,2360,1020,0.15598290598290598,0.028678304239401497,0.231990231990232,0.2703862660944206,0.7296137339055794,0.03305084745762712,0.09449152542372881,0.5872881355932204,0.2851694915254237
17119401500,2900,2163,253,1587,163,483,19,1227,255,10,972,2046,962,0.25413793103448273,0.15942028985507245,0.2293103448275862,0.21597392013039934,0.7840260798696006,0.04740957966764418,0.10068426197458455,0.644672531769306,0.2072336265884653
